"source","report_date","state_name","cumulative_case_count","new_cases_count"
"https://web.archive.org/web/20250222215835/https://www.cdc.gov/measles/data-research/",2025-02-20,"United States",93,0
"https://web.archive.org/web/20250303001441/https://www.cdc.gov/measles/data-research/",2025-02-27,"United States",164,71
"https://web.archive.org/web/20250309010439/https://www.cdc.gov/measles/data-research/",2025-03-06,"United States",222,58
"https://web.archive.org/web/20250315205809/https://www.cdc.gov/measles/data-research/",2025-03-13,"United States",301,79
"https://web.archive.org/web/20250322123507/https://www.cdc.gov/measles/data-research/",2025-03-20,"United States",378,77
"https://web.archive.org/web/20250328225855/https://www.cdc.gov/measles/data-research/",2025-03-27,"United States",483,105
"https://web.archive.org/web/20250404180156/https://www.cdc.gov/measles/data-research/",2025-04-03,"United States",607,124
"https://web.archive.org/web/20250412002821/https://www.cdc.gov/measles/data-research/",2025-04-10,"United States",712,105
"https://web.archive.org/web/20250419162150/https://www.cdc.gov/measles/data-research/",2025-04-17,"United States",800,88
"https://web.archive.org/web/20250426081824/https://www.cdc.gov/measles/data-research/",2025-04-25,"United States",884,84
"https://web.archive.org/web/20250503031653/https://www.cdc.gov/measles/data-research/",2025-05-02,"United States",935,51
"https://web.archive.org/web/20250509173703/https://www.cdc.gov/measles/data-research/",2025-05-09,"United States",1001,66
"https://web.archive.org/web/20250517060602/https://www.cdc.gov/measles/data-research/",2025-05-16,"United States",1024,23
"https://web.archive.org/web/20250523211026/https://www.cdc.gov/measles/data-research/",2025-05-23,"United States",1046,22
"https://web.archive.org/web/20250604111420/https://www.cdc.gov/measles/data-research/",2025-06-30,"United States",1088,42
"https://web.archive.org/web/20250610035126/https://www.cdc.gov/measles/data-research/",2025-06-05,"United States",1168,80
"https://web.archive.org/web/20250623170711/https://www.cdc.gov/measles/data-research/",2025-06-19,"United States",1214,46
"https://web.archive.org/web/20250627021955/https://www.cdc.gov/measles/data-research/index.html",2025-06-25,"United States",1214,0
"https://web.archive.org/web/20250702192715/https://www.cdc.gov/measles/data-research/",2025-07-01,"United States",1267,53
"https://web.archive.org/web/20250711061128/https://www.cdc.gov/measles/data-research/index.html",2025-07-08,"United States",1288,21
